Fr[0] = 2.000000 , Fi[0] = 1.000000
Fr[4] = 8.485281 , Fi[4] = -2.828427
Fr[5] = 0.000000 , Fi[5] = 0.000000
Fr[6] = 0.000000 , Fi[6] = 0.000000
Fr[7] = 0.000000 , Fi[7] = 0.000000
Fr[8] = 4.000000 , Fi[8] = -8.000000
Fr[9] = 0.000000 , Fi[9] = 0.000000
Fr[10] = 0.000000 , Fi[10] = 0.000000
Fr[11] = 0.000000 , Fi[11] = 0.000000
Fr[12] = -2.828427 , Fi[12] = -8.485281
Fr[13] = 0.000000 , Fi[13] = 0.000000
Fr[14] = 0.000000 , Fi[14] = 0.000000
Fr[15] = 0.000000 , Fi[15] = 0.000000
Fr[16] = 24.000000 , Fi[16] = 12.000000
Fr[17] = 0.000000 , Fi[17] = 0.000000
Fr[18] = 0.000000 , Fi[18] = 0.000000
Fr[19] = 0.000000 , Fi[19] = 0.000000
Fr[20] = -8.485281 , Fi[20] = 2.828427
Fr[21] = 0.000000 , Fi[21] = 0.000000
Fr[22] = 0.000000 , Fi[22] = 0.000000
Fr[23] = 0.000000 , Fi[23] = 0.000000
Fr[24] = -4.000000 , Fi[24] = 8.000000
Fr[25] = 0.000000 , Fi[25] = 0.000000
Fr[26] = 0.000000 , Fi[26] = 0.000000
Fr[27] = 0.000000 , Fi[27] = 0.000000
Fr[28] = 2.828427 , Fi[28] = 8.485281
Fr[29] = 0.000000 , Fi[29] = 0.000000
Fr[30] = 0.000000 , Fi[30] = 0.000000
Fr[31] = 0.000000 , Fi[31] = 0.000000
Fr[32] = 40.000000 , Fi[32] = 20.000000
Fr[33] = 0.000000 , Fi[33] = 0.000000
Fr[34] = 0.000000 , Fi[34] = 0.000000
Fr[35] = 0.000000 , Fi[35] = 0.000000
Fr[36] = 8.485281 , Fi[36] = -2.828427
Fr[37] = 0.000000 , Fi[37] = 0.000000
Fr[38] = 0.000000 , Fi[38] = 0.000000
Fr[39] = 0.000000 , Fi[39] = 0.000000
Fr[40] = 4.000000 , Fi[40] = -8.000000
Fr[41] = 0.000000 , Fi[41] = 0.000000
Fr[42] = 0.000000 , Fi[42] = 0.000000
Fr[43] = 0.000000 , Fi[43] = 0.000000
Fr[44] = -2.828427 , Fi[44] = -8.485281
Fr[45] = 0.000000 , Fi[45] = 0.000000
Fr[46] = 0.000000 , Fi[46] = 0.000000
Fr[47] = 0.000000 , Fi[47] = 0.000000
Fr[48] = 24.000000 , Fi[48] = 12.000000
Fr[49] = 0.000000 , Fi[49] = 0.000000
Fr[50] = 0.000000 , Fi[50] = 0.000000
Fr[51] = 0.000000 , Fi[51] = 0.000000
Fr[52] = -8.485281 , Fi[52] = 2.828427
Fr[53] = 0.000000 , Fi[53] = 0.000000
Fr[54] = 0.000000 , Fi[54] = 0.000000
Fr[55] = 0.000000 , Fi[55] = 0.000000
Fr[56] = -4.000000 , Fi[56] = 8.000000
Fr[57] = 0.000000 , Fi[57] = 0.000000
Fr[58] = 0.000000 , Fi[58] = 0.000000
Fr[59] = 0.000000 , Fi[59] = 0.000000
Fr[60] = 2.828427 , Fi[60] = 8.485281
Fr[61] = 0.000000 , Fi[61] = 0.000000
Fr[62] = 0.000000 , Fi[62] = 0.000000
Fr[63] = 0.000000 , Fi[63] = 0.000000
Fr[64] = 40.000000 , Fi[64] = 20.000000
Fr[65] = 0.000000 , Fi[65] = 0.000000
Fr[66] = 0.000000 , Fi[66] = 0.000000
Fr[67] = 0.000000 , Fi[67] = 0.000000
Fr[68] = 8.485281 , Fi[68] = -2.828427
Fr[69] = 0.000000 , Fi[69] = 0.000000
Fr[70] = 0.000000 , Fi[70] = 0.000000
Fr[71] = 0.000000 , Fi[71] = 0.000000
Fr[72] = 4.000000 , Fi[72] = -8.000000
Fr[73] = 0.000000 , Fi[73] = 0.000000
Fr[74] = 0.000000 , Fi[74] = 0.000000
Fr[75] = 0.000000 , Fi[75] = 0.000000
Fr[76] = -2.828427 , Fi[76] = -8.485281
Fr[77] = 0.000000 , Fi[77] = 0.000000
Fr[78] = 0.000000 , Fi[78] = 0.000000
Fr[79] = 0.000000 , Fi[79] = 0.000000
Fr[80] = 24.000000 , Fi[80] = 12.000000
Fr[81] = 0.000000 , Fi[81] = 0.000000
Fr[82] = 0.000000 , Fi[82] = 0.000000
Fr[83] = 0.000000 , Fi[83] = 0.000000
Fr[84] = -8.485281 , Fi[84] = 2.828427
Fr[85] = 0.000000 , Fi[85] = 0.000000
Fr[86] = 0.000000 , Fi[86] = 0.000000
Fr[87] = 0.000000 , Fi[87] = 0.000000
Fr[88] = -4.000000 , Fi[88] = 8.000000
Fr[89] = 0.000000 , Fi[89] = 0.000000
Fr[90] = 0.000000 , Fi[90] = 0.000000
Fr[91] = 0.000000 , Fi[91] = 0.000000
Fr[92] = 2.828427 , Fi[92] = 8.485281
Fr[93] = 0.000000 , Fi[93] = 0.000000
Fr[94] = 0.000000 , Fi[94] = 0.000000
Fr[95] = 0.000000 , Fi[95] = 0.000000
Fr[96] = 40.000000 , Fi[96] = 20.000000
Fr[97] = 0.000000 , Fi[97] = 0.000000
Fr[98] = 0.000000 , Fi[98] = 0.000000
Fr[99] = 0.000000 , Fi[99] = 0.000000
Fr[100] = 8.485281 , Fi[100] = -2.828427
Fr[101] = 0.000000 , Fi[101] = 0.000000
Fr[102] = 0.000000 , Fi[102] = 0.000000
Fr[103] = 0.000000 , Fi[103] = 0.000000
Fr[104] = 4.000000 , Fi[104] = -8.000000
Fr[105] = 0.000000 , Fi[105] = 0.000000
Fr[106] = 0.000000 , Fi[106] = 0.000000
Fr[107] = 0.000000 , Fi[107] = 0.000000
Fr[108] = -2.828427 , Fi[108] = -8.485281
Fr[109] = 0.000000 , Fi[109] = 0.000000
Fr[110] = 0.000000 , Fi[110] = 0.000000
Fr[111] = 0.000000 , Fi[111] = 0.000000
Fr[112] = 24.000000 , Fi[112] = 12.000000
Fr[113] = 0.000000 , Fi[113] = 0.000000
Fr[114] = 0.000000 , Fi[114] = 0.000000
Fr[115] = 0.000000 , Fi[115] = 0.000000
Fr[116] = -8.485281 , Fi[116] = 2.828427
Fr[117] = 0.000000 , Fi[117] = 0.000000
Fr[118] = 0.000000 , Fi[118] = 0.000000
Fr[119] = 0.000000 , Fi[119] = 0.000000
Fr[120] = -4.000000 , Fi[120] = 8.000000
Fr[121] = 0.000000 , Fi[121] = 0.000000
Fr[122] = 0.000000 , Fi[122] = 0.000000
Fr[123] = 0.000000 , Fi[123] = 0.000000
Fr[124] = 2.828427 , Fi[124] = 8.485281
Fr[125] = 0.000000 , Fi[125] = 0.000000
Fr[126] = 0.000000 , Fi[126] = 0.000000
Fr[127] = 0.000000 , Fi[127] = 0.000000
